Match_Id,Team_1,Team_2,Match_Date,Season_Id,Venue_Id,Toss_Winner,Toss_Decide,Win_Type,Win_Margin,Outcome_type,Match_Winner,Man_of_the_Match
335987,2,1,2008-04-18 00:00:00,1,1,2,1,1,140.0,1,1.0,2.0
335988,4,3,2008-04-19 00:00:00,1,2,3,2,1,33.0,1,3.0,19.0
335989,6,5,2008-04-19 00:00:00,1,3,5,2,2,9.0,1,6.0,90.0
335990,7,2,2008-04-20 00:00:00,1,4,7,2,2,5.0,1,2.0,11.0
335991,1,8,2008-04-20 00:00:00,1,5,8,2,2,5.0,1,1.0,4.0
335992,5,4,2008-04-21 00:00:00,1,6,4,2,2,6.0,1,5.0,32.0
335993,8,6,2008-04-22 00:00:00,1,7,8,2,2,9.0,1,6.0,41.0
335994,3,7,2008-04-23 00:00:00,1,8,7,1,1,6.0,1,3.0,18.0
335995,8,5,2008-04-24 00:00:00,1,7,5,1,2,3.0,1,5.0,31.0
335996,4,7,2008-04-25 00:00:00,1,2,7,1,1,66.0,1,4.0,26.0
335997,2,5,2008-04-26 00:00:00,1,1,5,1,2,7.0,1,5.0,32.0
335998,3,1,2008-04-26 00:00:00,1,8,1,2,2,9.0,1,3.0,22.0
335999,7,8,2008-04-27 00:00:00,1,9,8,1,2,10.0,1,8.0,53.0
336000,4,6,2008-04-27 00:00:00,1,2,6,2,2,4.0,1,4.0,28.0
336001,2,3,2008-04-28 00:00:00,1,1,3,2,1,13.0,1,3.0,20.0
336002,1,7,2008-04-29 00:00:00,1,5,1,2,2,7.0,1,7.0,44.0
336003,6,2,2008-04-30 00:00:00,1,3,2,1,1,10.0,1,6.0,118.0
336004,8,4,2008-05-01 00:00:00,1,7,4,1,2,7.0,1,4.0,100.0
336005,5,1,2008-05-01 00:00:00,1,6,5,2,1,45.0,1,5.0,101.0
336006,3,6,2008-05-02 00:00:00,1,8,3,2,2,8.0,1,6.0,41.0
336007,8,2,2008-05-25 00:00:00,1,7,8,2,2,5.0,1,2.0,81.0
336008,4,1,2008-05-03 00:00:00,1,2,4,2,1,9.0,1,4.0,29.0
336009,7,6,2008-05-04 00:00:00,1,9,6,1,1,29.0,1,7.0,49.0
336010,5,3,2008-05-04 00:00:00,1,6,3,2,2,8.0,1,5.0,102.0
336011,2,4,2008-05-05 00:00:00,1,1,4,1,2,6.0,1,4.0,77.0
336012,3,8,2008-05-06 00:00:00,1,8,8,1,2,7.0,1,8.0,53.0
336013,7,5,2008-05-07 00:00:00,1,9,7,1,2,7.0,1,7.0,73.0
336014,6,3,2008-05-08 00:00:00,1,3,3,1,2,4.0,1,3.0,20.0
336015,1,2,2008-05-08 00:00:00,1,5,1,2,1,5.0,1,1.0,1.0
336016,5,8,2008-05-09 00:00:00,1,6,5,1,2,8.0,1,5.0,31.0
336017,2,7,2008-05-28 00:00:00,1,1,7,1,2,9.0,1,7.0,149.0
336018,3,4,2008-05-10 00:00:00,1,8,4,1,1,18.0,1,3.0,151.0
336019,8,1,2008-05-11 00:00:00,1,7,1,2,1,23.0,1,1.0,1.0
336020,5,6,2008-05-11 00:00:00,1,6,5,1,2,3.0,1,5.0,32.0
336021,4,2,2008-05-12 00:00:00,1,2,2,2,2,9.0,1,4.0,100.0
336022,1,6,2008-05-13 00:00:00,1,5,1,2,1,23.0,1,1.0,144.0
336023,7,3,2008-05-14 00:00:00,1,4,7,1,2,9.0,1,7.0,44.0
336024,4,5,2008-05-28 00:00:00,1,2,5,1,1,41.0,1,4.0,100.0
336025,6,8,2008-05-15 00:00:00,1,3,8,1,1,12.0,1,6.0,136.0
336026,7,1,2008-05-16 00:00:00,1,4,7,1,2,8.0,1,7.0,49.0
336027,6,4,2008-05-17 00:00:00,1,3,6,2,1,6.0,1,4.0,64.0
336028,5,2,2008-05-17 00:00:00,1,6,2,1,1,65.0,1,5.0,74.0
336029,8,7,2008-05-18 00:00:00,1,7,8,1,1,25.0,1,7.0,71.0
336030,1,3,2008-05-18 00:00:00,1,5,1,2,1,3.0,1,3.0,122.0
336031,2,6,2008-05-19 00:00:00,1,1,6,1,2,5.0,1,6.0,132.0
336032,1,5,2008-05-20 00:00:00,1,5,5,1,2,6.0,1,5.0,31.0
336033,7,4,2008-05-21 00:00:00,1,4,7,1,1,1.0,1,4.0,100.0
336034,3,2,2008-05-21 00:00:00,1,8,2,2,1,14.0,1,2.0,124.0
336036,4,8,2008-05-23 00:00:00,1,2,4,1,2,6.0,1,4.0,100.0
336037,6,7,2008-05-24 00:00:00,1,3,6,1,2,5.0,1,6.0,88.0
336038,3,5,2008-05-24 00:00:00,1,8,5,2,1,10.0,1,5.0,109.0
336039,2,8,2008-05-03 00:00:00,1,1,8,1,1,3.0,1,2.0,14.0
336040,1,4,2008-05-25 00:00:00,1,5,4,2,2,3.0,1,1.0,105.0
336041,5,7,2008-05-26 00:00:00,1,6,5,1,2,5.0,1,5.0,102.0
336042,8,3,2008-05-27 00:00:00,1,7,8,2,2,7.0,1,3.0,21.0
336043,6,5,2008-05-30 00:00:00,1,4,6,1,1,105.0,1,5.0,32.0
336044,3,4,2008-05-31 00:00:00,1,4,4,2,2,9.0,1,3.0,122.0
336045,3,5,2008-06-01 00:00:00,1,9,5,1,2,3.0,1,5.0,31.0
392186,3,7,2009-04-18 00:00:00,2,10,3,1,1,19.0,1,7.0,133.0
392187,2,5,2009-04-18 00:00:00,2,10,2,2,1,75.0,1,2.0,6.0
392188,6,4,2009-04-19 00:00:00,2,10,6,1,2,10.0,1,6.0,175.0
392189,8,1,2009-04-19 00:00:00,2,10,1,2,2,8.0,1,8.0,61.0
392190,2,3,2009-04-20 00:00:00,2,11,3,2,1,92.0,1,3.0,121.0
392191,4,1,2009-04-21 00:00:00,2,12,1,1,1,11.0,1,1.0,162.0
392193,2,8,2009-04-22 00:00:00,2,10,8,2,1,24.0,1,8.0,53.0
392194,3,6,2009-04-23 00:00:00,2,12,6,2,1,9.0,1,6.0,110.0
392195,1,5,2009-04-23 00:00:00,2,10,1,1,4,,3,5.0,31.0
392196,2,4,2009-04-24 00:00:00,2,12,2,2,2,7.0,1,4.0,161.0
392197,8,7,2009-04-25 00:00:00,2,12,8,2,1,12.0,1,8.0,131.0
392199,2,6,2009-04-26 00:00:00,2,11,2,2,2,6.0,1,6.0,135.0
392200,4,5,2009-04-26 00:00:00,2,10,4,2,1,27.0,1,4.0,26.0
392201,3,8,2009-04-27 00:00:00,2,12,8,1,2,6.0,1,8.0,97.0
392202,1,7,2009-04-27 00:00:00,2,11,7,2,1,92.0,1,7.0,133.0
392203,6,5,2009-04-28 00:00:00,2,13,6,2,2,5.0,1,5.0,31.0
392204,2,1,2009-04-29 00:00:00,2,12,1,2,2,5.0,1,2.0,11.0
392205,4,7,2009-04-29 00:00:00,2,12,4,2,1,3.0,1,4.0,26.0
392206,8,6,2009-04-30 00:00:00,2,13,6,1,2,6.0,1,6.0,223.0
392207,3,5,2009-04-30 00:00:00,2,13,5,1,1,38.0,1,3.0,21.0
392208,1,7,2009-05-01 00:00:00,2,14,7,2,1,9.0,1,7.0,154.0
392209,2,4,2009-05-01 00:00:00,2,12,2,2,1,8.0,1,2.0,27.0
392210,8,5,2009-05-02 00:00:00,2,11,8,2,2,3.0,1,5.0,31.0
392211,3,6,2009-05-02 00:00:00,2,15,6,1,1,18.0,1,3.0,186.0
392212,4,1,2009-05-03 00:00:00,2,11,1,2,2,6.0,1,4.0,64.0
392213,2,7,2009-05-03 00:00:00,2,15,7,2,2,9.0,1,2.0,9.0
392214,3,8,2009-05-04 00:00:00,2,14,3,2,1,78.0,1,3.0,20.0
392215,4,5,2009-05-05 00:00:00,2,12,4,1,1,78.0,1,5.0,74.0
392216,6,1,2009-05-05 00:00:00,2,12,1,2,2,9.0,1,6.0,40.0
392217,8,7,2009-05-06 00:00:00,2,13,8,2,1,19.0,1,8.0,57.0
392218,2,5,2009-05-07 00:00:00,2,13,5,1,2,7.0,1,5.0,196.0
392219,3,4,2009-05-07 00:00:00,2,13,3,2,1,12.0,1,3.0,18.0
392220,6,7,2009-05-08 00:00:00,2,14,7,2,2,7.0,1,6.0,73.0
392221,8,4,2009-05-09 00:00:00,2,16,4,1,2,3.0,1,4.0,64.0
392222,3,5,2009-05-09 00:00:00,2,16,5,2,2,7.0,1,3.0,23.0
392223,2,7,2009-05-10 00:00:00,2,11,7,2,1,16.0,1,7.0,154.0
392224,6,1,2009-05-10 00:00:00,2,15,6,1,2,7.0,1,6.0,136.0
392225,8,5,2009-05-11 00:00:00,2,16,8,2,1,53.0,1,8.0,147.0
392226,2,1,2009-05-12 00:00:00,2,13,2,1,2,6.0,1,2.0,52.0
392227,4,7,2009-05-12 00:00:00,2,13,4,2,2,8.0,1,7.0,50.0
392228,8,6,2009-05-13 00:00:00,2,12,8,1,1,12.0,1,6.0,89.0
392229,2,3,2009-05-14 00:00:00,2,12,3,2,2,2.0,1,2.0,52.0
392230,7,5,2009-05-14 00:00:00,2,12,5,2,1,2.0,1,5.0,38.0
392231,6,4,2009-05-15 00:00:00,2,17,4,1,2,6.0,1,4.0,66.0
392232,3,7,2009-05-16 00:00:00,2,11,7,2,2,7.0,1,3.0,18.0
392233,8,1,2009-05-16 00:00:00,2,15,8,1,2,6.0,1,8.0,57.0
392234,8,4,2009-05-17 00:00:00,2,15,8,1,1,1.0,1,4.0,27.0
392235,6,5,2009-05-17 00:00:00,2,17,6,2,1,14.0,1,6.0,110.0
392236,3,1,2009-05-18 00:00:00,2,13,3,2,2,7.0,1,1.0,104.0
392237,2,6,2009-05-19 00:00:00,2,15,6,2,2,7.0,1,2.0,9.0
392238,1,5,2009-05-20 00:00:00,2,12,1,1,2,4.0,1,1.0,63.0
392239,3,4,2009-05-20 00:00:00,2,12,3,2,1,24.0,1,3.0,121.0
392240,6,7,2009-05-21 00:00:00,2,13,6,1,2,4.0,1,6.0,41.0
392241,2,8,2009-05-21 00:00:00,2,13,2,2,1,12.0,1,2.0,96.0
392242,6,8,2009-05-22 00:00:00,2,13,8,1,2,6.0,1,8.0,53.0
392243,2,3,2009-05-23 00:00:00,2,15,2,1,2,6.0,1,2.0,96.0
392244,2,8,2009-05-24 00:00:00,2,15,2,1,1,6.0,1,8.0,124.0
419111,8,1,2010-03-12 00:00:00,3,9,8,1,1,11.0,1,1.0,191.0
419112,7,5,2010-03-13 00:00:00,3,18,7,2,1,4.0,1,7.0,31.0
419113,4,6,2010-03-13 00:00:00,3,2,6,1,2,5.0,1,6.0,40.0
419114,1,2,2010-03-14 00:00:00,3,5,1,1,2,7.0,1,1.0,87.0
419115,3,8,2010-03-14 00:00:00,3,8,8,2,1,31.0,1,8.0,60.0
419116,5,6,2010-03-15 00:00:00,3,19,6,1,2,6.0,1,6.0,41.0
419117,2,4,2010-03-16 00:00:00,3,1,4,2,2,8.0,1,2.0,9.0
419118,1,3,2010-03-16 00:00:00,3,5,3,2,1,55.0,1,3.0,20.0
419119,6,7,2010-03-17 00:00:00,3,3,6,1,1,98.0,1,7.0,133.0
419120,2,5,2010-03-18 00:00:00,3,1,2,1,2,10.0,1,2.0,9.0
419121,6,3,2010-03-19 00:00:00,3,3,6,2,2,5.0,1,3.0,18.0
419122,8,4,2010-03-19 00:00:00,3,20,4,1,1,6.0,1,8.0,56.0
419123,5,1,2010-03-20 00:00:00,3,19,5,2,1,34.0,1,5.0,211.0
419124,7,2,2010-03-20 00:00:00,3,18,7,2,2,7.0,1,2.0,9.0
419125,8,6,2010-03-21 00:00:00,3,20,8,2,1,10.0,1,8.0,56.0
419126,3,4,2010-03-21 00:00:00,3,8,3,1,4,,3,4.0,233.0
419127,7,1,2010-03-22 00:00:00,3,18,1,2,2,7.0,1,7.0,133.0
419128,2,3,2010-03-23 00:00:00,3,1,3,1,1,36.0,1,2.0,46.0
419129,4,5,2010-03-24 00:00:00,3,2,4,1,1,31.0,1,5.0,230.0
419130,7,3,2010-03-25 00:00:00,3,18,7,1,2,5.0,1,7.0,133.0
419131,5,8,2010-03-26 00:00:00,3,19,8,2,2,8.0,1,5.0,31.0
419132,4,1,2010-03-27 00:00:00,3,2,1,2,1,39.0,1,1.0,87.0
419133,2,6,2010-03-25 00:00:00,3,1,2,1,1,17.0,1,6.0,237.0
419134,5,3,2010-03-28 00:00:00,3,19,5,2,1,17.0,1,5.0,183.0
419135,8,7,2010-03-28 00:00:00,3,9,8,1,1,41.0,1,7.0,50.0
419136,6,1,2010-03-29 00:00:00,3,3,6,2,1,40.0,1,6.0,187.0
419137,7,4,2010-03-30 00:00:00,3,18,7,1,2,4.0,1,7.0,194.0
419138,3,2,2010-03-31 00:00:00,3,8,2,2,2,5.0,1,3.0,185.0
419139,6,5,2010-03-31 00:00:00,3,3,6,2,1,67.0,1,6.0,88.0
419140,1,8,2010-04-01 00:00:00,3,5,1,2,1,24.0,1,1.0,1.0
419141,4,2,2010-04-02 00:00:00,3,2,4,2,2,6.0,1,2.0,158.0
419142,3,5,2010-04-03 00:00:00,3,8,3,2,1,23.0,1,3.0,185.0
419143,7,8,2010-04-03 00:00:00,3,18,7,2,1,63.0,1,7.0,208.0
419144,1,4,2010-04-04 00:00:00,3,5,1,2,2,8.0,1,4.0,64.0
419145,6,2,2010-04-04 00:00:00,3,3,6,2,1,37.0,1,6.0,241.0
